# RCA Studio II CRC16-CCITT inventory
# Polynomial: 0x1021; initial value: 0xFFFF; input: exact file bytes
# Scan root: folder containing this script
# Files: 480
#
CRC16	Bytes	Extension	Relative path
2526	1280	.st2	Conic_StudioIII-Cartridges\baseball.st2
31AE	1280	.st2	Conic_StudioIII-Cartridges\bingo.st2
DA69	1280	.st2	Conic_StudioIII-Cartridges\biorhythm.st2
0ECC	1280	.st2	Conic_StudioIII-Cartridges\concentration-match.st2
CEC2	768	.st2	Conic_StudioIII-Cartridges\fun-with-numbers.st2
1594	2304	.st2	Conic_StudioIII-Cartridges\grand-pack.st2
043E	1280	.st2	Conic_StudioIII-Cartridges\gunfighter.st2
B2FF	1280	.st2	Conic_StudioIII-Cartridges\mathfun.st2
92BA	1280	.st2	Conic_StudioIII-Cartridges\pinball.st2
9D0D	768	.st2	Conic_StudioIII-Cartridges\school.st2
45B5	768	.st2	Conic_StudioIII-Cartridges\spacewar.st2
8404	768	.st2	Conic_StudioIII-Cartridges\speedway.st2
03E6	1280	.st2	Conic_StudioIII-Cartridges\star-wars.st2
FB76	768	.st2	Conic_StudioIII-Cartridges\tennis.st2
D481	1280	.st2	Conic_StudioIII-Homebrew\invsn.st2
D346	1280	.st2	Conic_StudioIII-Sarnoff-Collection\color-demo [AUD_2464_09_B41_ID09_01].st2
EF67	2304	.st2	Conic_StudioIII-Sarnoff-Collection\color-runs [AUD_2464_09_B41_ID16_02].st2
61B8	1280	.st2	Conic_StudioIII-Sarnoff-Collection\color-stars-and-trek [AUD_2464_09_B41_ID09_02].st2
8CA7	3328	.st2	Conic_StudioIII-Sarnoff-Collection\ST3CTA Tester 3.st2
228D	4096	.bin	RCA-Studio-II-Fullset\BIOS\Academy Apollo 80 Programmable Video Game (United Kingdom) (BIOS) (PAL) (1978).bin
ED56	4096	.bin	RCA-Studio-II-Fullset\BIOS\Conic M-1200 Microprocessor Programmable TV Game (BIOS) (NTSC) (1978).bin
228D	4096	.bin	RCA-Studio-II-Fullset\BIOS\Conic M-1200 Microprocessor Programmable TV Game (BIOS) (PAL) (1978).bin
F0D5	1024	.bin	RCA-Studio-II-Fullset\BIOS\Hanimex Jeu TV Programmable MPT-02 (France) (BIOS) (PAL) (1978).bin
B5BF	2048	.bin	RCA-Studio-II-Fullset\BIOS\RCA Studio II (USA) (BIOS) (1977).bin
19E6	2048	.bin	RCA-Studio-II-Fullset\BIOS\RCA Studio II (USA) (BIOS) (Alt) (1977).bin
ED56	4096	.bin	RCA-Studio-II-Fullset\BIOS\RCA Studio III (BIOS) (NTSC) (1978).bin
39B5	2048	.bin	RCA-Studio-II-Fullset\BIOS\RCA Studio III (BIOS) (NTSC) (Alt) (1978).bin
BE1F	2048	.bin	RCA-Studio-II-Fullset\BIOS\RCA Studio III (BIOS) (PAL) (1978).bin
228D	4096	.bin	RCA-Studio-II-Fullset\BIOS\Soundic Victory Home TV Programmer (MPT-02) (Australia) (BIOS) (PAL) (1978).bin
AE1C	4096	.bin	RCA-Studio-II-Fullset\BIOS\Soundic Victory Home TV Programmer (MPT-02) (BIOS) (NTSC) (1978).bin
0039	768	.bin	RCA-Studio-II-Fullset\BIOS\Studio II Chip-8 Interpreter (BIOS) (2020.02.03) (Marcel van Tongeren).bin
C47C	2048	.bin	RCA-Studio-II-Fullset\BIOS\Toshiba Visicom COM-100 (Japan) (BIOS) (NTSC) (1978).bin
B5BF	2048	.rom	RCA-Studio-II-Fullset\boot0.rom
228D	4096	.rom	RCA-Studio-II-Fullset\boot1.rom
ED56	4096	.rom	RCA-Studio-II-Fullset\boot2.rom
C47C	2048	.rom	RCA-Studio-II-Fullset\boot3.rom
0039	768	.rom	RCA-Studio-II-Fullset\boot4.rom
54A6	4096	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\am4kbas.bin
2B4D	1792	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\asteroids.st2
F837	1024	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\BASEBALL.BIN
2526	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\baseball.st2
E080	1792	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\berzerk.st2
31AE	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\bingo.st2
DA69	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\biorhythm.st2
AF65	1024	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\BLACKJACK.BIN
C8B4	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\blackjack.st2
1139	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\Climber.st2
D87F	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\combat.st2
EE76	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\computer.st2
0ECC	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\concentration-match.st2
CEC2	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\fun-with-numbers.st2
3CDC	1024	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\gunfighter-moonship.bin
043E	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\gunfighter.st2
D5DE	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\hockey.st2
0D1D	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\invaders.st2
8551	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\kaboom.st2
B2FF	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\mathfun.st2
BE58	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\outbreak.st2
E00A	1792	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\pacman.st2
92BA	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\pinball.st2
47EA	2816	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\race.st2
3EAF	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\RCA_demo.st2
79C5	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\RCA_TEST_CARTRIDGE_TESTER1.st2
D2F0	512	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\rocket.st2
BB2B	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\S.572.21B_Studio_IV_Interpreter_1_of_2.rom
2174	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\S.572.21B_Studio_IV_Interpreter_final_1_of_1.rom
9D0D	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\school.st2
1280	1792	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\scramble.st2
92C7	2304	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\space_explorer.st2
977C	512	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\SPACEWAR.BIN
45B5	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\spacewar.st2
D0DA	512	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\SPEEDWAY.BIN
8404	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\speedway.st2
03E6	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\star-wars.st2
19E6	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\studio2.rom
39B5	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\studio3ntsc.rom
BE1F	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\studio3pal.rom
88FB	512	.bin	RCA-Studio-II-Fullset\Collections\Andrew Modla\TENNIS.BIN
FB76	768	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\tennis.st2
4B55	1280	.st2	RCA-Studio-II-Fullset\Collections\Andrew Modla\tv-arcade-2012.st2
228D	4096	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\victory.rom
AE1C	4096	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\victoryntsc.rom
FD57	512	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\vip.rom
C47C	2048	.rom	RCA-Studio-II-Fullset\Collections\Andrew Modla\visicom.rom
47EA	2816	.st2	RCA-Studio-II-Fullset\Collections\azya52\race.st2
77BA	524288	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\39f040.final.rom
5DCD	524288	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\39sf040.auto.bin
